stn    time           nto002d0
MER    20130505              0
MER    20130506              0
MER    20130507              0
MER    20130508              1
MER    20130509              0
MER    20130510              0
MER    20130511              0
MER    20130512              0
MER    20130513              0
MER    20130514              0
MER    20130515              0
MER    20130516              0
MER    20130517              0
MER    20130518              1
MER    20130519              0
MER    20130520              0
MER    20130521              0
MER    20130522              0
MER    20130523              0
MER    20130524              0
MER    20130525              0
MER    20130526              0
MER    20130527              0
MER    20130528              0
MER    20130529              0
MER    20130530              0
MER    20130531              0
MER    20130601              0
MER    20130602              0
MER    20130603              0
MER    20130604              0
MER    20130605              0
MER    20130606              1
MER    20130607              1
MER    20130608              0
MER    20130609              0
MER    20130610              0
MER    20130611              0
MER    20130612              0
MER    20130613              1
MER    20130614              0
MER    20130615              0
MER    20130616              0
MER    20130617              0
MER    20130618              0
MER    20130619              0
MER    20130620              0
MER    20130621              0
MER    20130622              0
MER    20130623              0
MER    20130624              0
MER    20130625              0
MER    20130626              0
MER    20130627              0
MER    20130628              0
MER    20130629              0
MER    20130630              0
MER    20130701              0
MER    20130702              0
MER    20130703              0
MER    20130704              0
MER    20130705              0
MER    20130706              0
MER    20130707              0
MER    20130708              0
MER    20130709              0
MER    20130710              0
MER    20130711              0
MER    20130712              0
MER    20130713              0
MER    20130714              1
MER    20130715              0
MER    20130716              1
MER    20130717              0
MER    20130718              0
MER    20130719              0
MER    20130720              0
MER    20130721              0
MER    20130722              0
MER    20130723              0
MER    20130724              0
MER    20130725              0
MER    20130726              0
MER    20130727              1
MER    20130728              0
MER    20130729              0
MER    20130730              0
MER    20130731              1
MER    20130801              1
MER    20130802              1
MER    20130803              0
MER    20130804              0
MER    20130805              0
MER    20130806              0
MER    20130807              0
MER    20130808              0
MER    20130809              0
MER    20130810              0
MER    20130811              0
MER    20130812              1
MER    20130813              0
MER    20130814              0
MER    20130815              1
MER    20130816              0
MER    20130817              0
MER    20130818              0
MER    20130819              0
MER    20130820              0
MER    20130821              1
MER    20130822              0
MER    20130823              0
MER    20130824              0
MER    20130825              0
MER    20130826              0
MER    20130827              0
MER    20130828              0
MER    20130829              0
MER    20130830              0
MER    20130831              0
MER    20130901              0
MER    20130902              0
MER    20130903              1
MER    20130904              1
MER    20130905              1
MER    20130906              0
MER    20130907              0
MER    20130908              0
MER    20130909              0
MER    20130910              0
MER    20130911              0
MER    20130912              0
MER    20130913              0
MER    20130914              0
MER    20130915              0
MER    20130916              0
MER    20130917              0
MER    20130918              0
MER    20130919              0
MER    20130920              0
MER    20130921              0
MER    20130922              0
MER    20130923              1
MER    20130924              1
MER    20130925              0
MER    20130926              0
MER    20130927              0
MER    20130928              0
MER    20130929              0
MER    20130930              0
MER    20131001              0
MER    20131002              0
MER    20131003              0
MER    20131004              0
MER    20131005              0
MER    20131006              0
MER    20131007              0
MER    20131008              0
MER    20131009              0
MER    20131010              0
MER    20131011              0
MER    20131012              0
MER    20131013              0
MER    20131014              0
MER    20131015              0
MER    20131016              0
MER    20131017              0
MER    20131018              0
MER    20131019              0
MER    20131020              0
MER    20131021              0
MER    20131022              0
MER    20131023              0
MER    20131024              1
MER    20131025              0
MER    20131026              0
MER    20131027              0
MER    20131028              0
MER    20131029              0
MER    20131030              0
MER    20131031              1
MER    20131101              0
MER    20131102              0
MER    20131103              0
MER    20131104              0
MER    20131105              0
MER    20131106              0
MER    20131107              0
MER    20131108              0
MER    20131109              0
MER    20131110              0
MER    20131111              0
MER    20131112              0
MER    20131113              0
MER    20131114              0
MER    20131115              0
MER    20131116              0
MER    20131117              0
MER    20131118              0
MER    20131119              0
MER    20131120              0
MER    20131121              0
MER    20131122              0
MER    20131123              0
MER    20131124              0
MER    20131125              0
MER    20131126              0
MER    20131127              0
MER    20131128              0
MER    20131129              1
MER    20131130              0
MER    20131201              0
MER    20131202              1
MER    20131203              0
MER    20131204              1
MER    20131205              0
MER    20131206              0
MER    20131207              0
MER    20131208              0
MER    20131209              0
MER    20131210              1
MER    20131211              1
MER    20131212              0
MER    20131213              0
MER    20131214              0
MER    20131215              0
MER    20131216              1
MER    20131217              1
MER    20131218              0
MER    20131219              0
MER    20131220              0
MER    20131221              0
MER    20131222              0
MER    20131223              0
MER    20131224              0
MER    20131225              0
MER    20131226              0
MER    20131227              0
MER    20131228              0
MER    20131229              0
MER    20131230              0
MER    20131231              0
MER    20140101              0
MER    20140102              0
MER    20140103              0
MER    20140104              0
MER    20140105              0
MER    20140106              0
MER    20140107              0
MER    20140108              0
MER    20140109              0
MER    20140110              0
MER    20140111              0
MER    20140112              1
MER    20140113              0
MER    20140114              0
MER    20140115              0
MER    20140116              0
MER    20140117              0
MER    20140118              0
MER    20140119              0
MER    20140120              0
MER    20140121              0
MER    20140122              0
MER    20140123              0
MER    20140124              0
MER    20140125              0
MER    20140126              0
MER    20140127              0
MER    20140128              1
MER    20140129              0
MER    20140130              0
MER    20140131              0
MER    20140201              0
MER    20140202              0
MER    20140203              0
MER    20140204              0
MER    20140205              0
MER    20140206              0
MER    20140207              0
MER    20140208              0
MER    20140209              0
MER    20140210              0
MER    20140211              0
MER    20140212              0
MER    20140213              0
MER    20140214              0
MER    20140215              0
MER    20140216              0
MER    20140217              0
MER    20140218              0
MER    20140219              0
MER    20140220              1
MER    20140221              0
MER    20140222              0
MER    20140223              0
MER    20140224              1
MER    20140225              0
MER    20140226              0
MER    20140227              0
MER    20140228              0
MER    20140301              0
MER    20140302              0
MER    20140303              0
MER    20140304              0
MER    20140305              0
MER    20140306              0
MER    20140307              1
MER    20140308              1
MER    20140309              1
MER    20140310              1
MER    20140311              0
MER    20140312              1
MER    20140313              1
MER    20140314              1
MER    20140315              0
MER    20140316              0
MER    20140317              1
MER    20140318              0
MER    20140319              0
MER    20140320              0
MER    20140321              0
MER    20140322              0
MER    20140323              0
MER    20140324              0
MER    20140325              0
MER    20140326              0
MER    20140327              0
MER    20140328              1
MER    20140329              0
MER    20140330              0
MER    20140331              0
MER    20140401              0
MER    20140402              0
MER    20140403              0
MER    20140404              0
MER    20140405              0
MER    20140406              0
MER    20140407              0
MER    20140408              0
MER    20140409              0
MER    20140410              0
MER    20140411              0
MER    20140412              0
MER    20140413              0
MER    20140414              0
MER    20140415              0
MER    20140416              0
MER    20140417              0
MER    20140418              0
MER    20140419              0
MER    20140420              0
MER    20140421              0
MER    20140422              0
MER    20140423              0
MER    20140424              0
MER    20140425              0
MER    20140426              0
MER    20140427              0
MER    20140428              0
MER    20140429              0
MER    20140430              0
MER    20140501              0
MER    20140502              0
MER    20140503              0
MER    20140504              0
MER    20140505              0
MER    20140506              0
MER    20140507              0
MER    20140508              0
MER    20140509              0
MER    20140510              0
MER    20140511              0
MER    20140512              0
MER    20140513              0
MER    20140514              0
MER    20140515              0
MER    20140516              0
MER    20140517              0
MER    20140518              0
MER    20140519              0
MER    20140520              0
MER    20140521              0
MER    20140522              0
MER    20140523              0
MER    20140524              0
MER    20140525              0
MER    20140526              0
MER    20140527              0
MER    20140528              0
MER    20140529              0
MER    20140530              0
MER    20140531              0
MER    20140601              0
MER    20140602              0
MER    20140603              0
MER    20140604              0
MER    20140605              0
MER    20140606              0
MER    20140607              0
MER    20140608              1
MER    20140609              0
MER    20140610              0
MER    20140611              0
MER    20140612              0
MER    20140613              0
MER    20140614              0
MER    20140615              0
MER    20140616              0
MER    20140617              0
MER    20140618              0
MER    20140619              0
MER    20140620              0
MER    20140621              0
MER    20140622              0
MER    20140623              0
MER    20140624              0
MER    20140625              0
MER    20140626              0
MER    20140627              0
MER    20140628              0
MER    20140629              0
MER    20140630              0
MER    20140701              0
MER    20140702              0
MER    20140703              1
MER    20140704              0
MER    20140705              0
MER    20140706              0
MER    20140707              0
MER    20140708              0
MER    20140709              0
MER    20140710              0
MER    20140711              0
MER    20140712              0
MER    20140713              0
MER    20140714              0
MER    20140715              0
MER    20140716              0
MER    20140717              0
MER    20140718              0
MER    20140719              0
MER    20140720              0
MER    20140721              0
MER    20140722              0
MER    20140723              0
MER    20140724              0
MER    20140725              0
MER    20140726              0
MER    20140727              0
MER    20140728              0
MER    20140729              0
MER    20140730              0
MER    20140731              0
MER    20140801              0
MER    20140802              0
MER    20140803              0
MER    20140804              0
MER    20140805              0
MER    20140806              0
MER    20140807              0
MER    20140808              0
MER    20140809              0
MER    20140810              0
MER    20140811              0
MER    20140812              0
MER    20140813              0
MER    20140814              0
MER    20140815              0
MER    20140816              0
MER    20140817              0
MER    20140818              1
MER    20140819              0
MER    20140820              0
MER    20140821              0
MER    20140822              0
MER    20140823              0
MER    20140824              0
MER    20140825              0
MER    20140826              0
MER    20140827              0
MER    20140828              0
MER    20140829              0
MER    20140830              0
MER    20140831              0
MER    20140901              0
MER    20140902              0
MER    20140903              0
MER    20140904              0
MER    20140905              0
MER    20140906              0
MER    20140907              0
MER    20140908              0
MER    20140909              0
MER    20140910              0
MER    20140911              0
MER    20140912              0
MER    20140913              0
MER    20140914              0
MER    20140915              0
MER    20140916              0
MER    20140917              0
MER    20140918              0
MER    20140919              0
MER    20140920              0
MER    20140921              0
MER    20140922              0
MER    20140923              0
MER    20140924              0
MER    20140925              0
MER    20140926              1
MER    20140927              1
MER    20140928              1
MER    20140929              1
MER    20140930              0
MER    20141001              0
MER    20141002              0
MER    20141003              0
MER    20141004              0
MER    20141005              0
MER    20141006              0
MER    20141007              0
MER    20141008              0
MER    20141009              1
MER    20141010              0
MER    20141011              0
MER    20141012              0
MER    20141013              0
MER    20141014              0
MER    20141015              0
MER    20141016              0
MER    20141017              0
MER    20141018              0
MER    20141019              1
MER    20141020              0
MER    20141021              0
MER    20141022              0
MER    20141023              0
MER    20141024              1
MER    20141025              0
MER    20141026              0
MER    20141027              0
MER    20141028              0
MER    20141029              1
MER    20141030              0
MER    20141031              1
MER    20141101              1
MER    20141102              1
MER    20141103              0
MER    20141104              0
MER    20141105              0
MER    20141106              0
MER    20141107              0
MER    20141108              1
MER    20141109              0
MER    20141110              0
MER    20141111              0
MER    20141112              0
MER    20141113              0
