 

stn    time           tre200dx
RAG    19400404            8.7
RAG    19400405            5.2
RAG    19400406            3.3
RAG    19400407            7.9
RAG    19400408            8.6
RAG    19400409            9.4
RAG    19400410            8.4
RAG    19400411            6.7
RAG    19400412            5.2
RAG    19400413            7.4
RAG    19400414            8.3
RAG    19400415           16.5
RAG    19400416           17.2
RAG    19400417           18.9
RAG    19400418           21.6
RAG    19400419           15.6
RAG    19400420           18.0
RAG    19400421           21.1
RAG    19400422           22.6
RAG    19400423           23.5
RAG    19400424           23.7
RAG    19400425           17.6
RAG    19400426           19.2
RAG    19400427           19.1
RAG    19400428           19.6
RAG    19400429           19.2
RAG    19400430           22.1
RAG    19400501           21.7
RAG    19400502           19.2
RAG    19400503           20.1
RAG    19400504           18.8
RAG    19400505           15.4
RAG    19400506           13.7
RAG    19400507           16.2
RAG    19400508           20.1
RAG    19400509           20.0
RAG    19400510           20.4
RAG    19400511           20.0
RAG    19400512           13.1
RAG    19400513           15.8
RAG    19400514           19.2
RAG    19400515           21.7
RAG    19400516           12.1
RAG    19400517            6.1
RAG    19400518           12.7
RAG    19400519           12.4
RAG    19400520           18.0
RAG    19400521           22.0
RAG    19400522           22.7
RAG    19400523           18.1
RAG    19400524           18.9
RAG    19400525           24.6
RAG    19400526           25.0
RAG    19400527           20.4
RAG    19400528           21.6
RAG    19400529           12.4
RAG    19400530           10.8
RAG    19400531           16.8
RAG    19400601           14.4
RAG    19400602           17.6
RAG    19400603           20.6
RAG    19400604           21.6
RAG    19400605           23.4
RAG    19400606           23.6
RAG    19400607           22.9
RAG    19400608           24.3
RAG    19400609           25.9
RAG    19400610           25.5
RAG    19400611           25.2
RAG    19400612           23.4
RAG    19400613           19.9
RAG    19400614           17.4
RAG    19400615           19.2
RAG    19400616           16.1
RAG    19400617           16.7
RAG    19400618           17.7
RAG    19400619           21.8
RAG    19400620           21.8
RAG    19400621           22.5
RAG    19400622           22.8
RAG    19400623           25.5
RAG    19400624           23.2
RAG    19400625           18.2
RAG    19400626           19.2
RAG    19400627           16.4
RAG    19400628           15.0
RAG    19400629           17.8
RAG    19400630           19.9
