 

stn    time           nto002d0
CLA    19411206              0
CLA    19411207              0
CLA    19411208              0
CLA    19411209              0
CLA    19411210              0
CLA    19411211              1
CLA    19411212              1
CLA    19411213              0
CLA    19411214              1
CLA    19411215              1
CLA    19411216              0
CLA    19411217              0
CLA    19411218              0
CLA    19411219              0
CLA    19411220              1
CLA    19411221              1
CLA    19411222              0
CLA    19411223              0
CLA    19411224              0
CLA    19411225              0
CLA    19411226              1
CLA    19411227              0
CLA    19411228              1
CLA    19411229              1
CLA    19411230              0
CLA    19411231              0
CLA    19420101              1
CLA    19420102              1
CLA    19420103              0
CLA    19420104              1
CLA    19420105              0
CLA    19420106              0
CLA    19420107              0
CLA    19420108              0
CLA    19420109              0
CLA    19420110              0
CLA    19420111              0
CLA    19420112              0
CLA    19420113              1
CLA    19420114              0
CLA    19420115              1
CLA    19420116              0
CLA    19420117              0
CLA    19420118              0
CLA    19420119              0
CLA    19420120              0
CLA    19420121              0
CLA    19420122              0
CLA    19420123              0
CLA    19420124              0
CLA    19420125              0
CLA    19420126              0
CLA    19420127              0
CLA    19420128              0
CLA    19420129              0
CLA    19420130              0
CLA    19420131              0
CLA    19420201              0
CLA    19420202              0
CLA    19420203              0
CLA    19420204              0
CLA    19420205              0
CLA    19420206              0
CLA    19420207              0
CLA    19420208              0
CLA    19420209              0
CLA    19420210              0
CLA    19420211              0
CLA    19420212              0
CLA    19420213              0
CLA    19420214              0
CLA    19420215              0
CLA    19420216              0
CLA    19420217              0
CLA    19420218              0
CLA    19420219              0
CLA    19420220              0
CLA    19420221              0
CLA    19420222              0
CLA    19420223              0
CLA    19420224              0
CLA    19420225              1
CLA    19420226              0
CLA    19420227              0
CLA    19420228              0
CLA    19420301              1
CLA    19420302              1
CLA    19420303              1
CLA    19420304              0
CLA    19420305              0
CLA    19420306              0
CLA    19420307              0
CLA    19420308              0
CLA    19420309              0
CLA    19420310              0
CLA    19420311              0
CLA    19420312              0
CLA    19420313              0
CLA    19420314              0
CLA    19420315              0
CLA    19420316              0
CLA    19420317              0
CLA    19420318              0
CLA    19420319              0
CLA    19420320              0
CLA    19420321              0
CLA    19420322              0
CLA    19420323              0
CLA    19420324              0
CLA    19420325              0
CLA    19420326              1
CLA    19420327              1
CLA    19420328              0
CLA    19420329              0
CLA    19420330              0
CLA    19420331              1
CLA    19420401              0
CLA    19420402              0
CLA    19420403              0
CLA    19420404              0
CLA    19420405              0
CLA    19420406              0
CLA    19420407              0
CLA    19420408              0
CLA    19420409              1
CLA    19420410              0
CLA    19420411              1
CLA    19420412              1
CLA    19420413              1
CLA    19420414              1
CLA    19420415              1
CLA    19420416              1
CLA    19420417              0
CLA    19420418              0
CLA    19420419              0
CLA    19420420              0
CLA    19420421              0
CLA    19420422              0
CLA    19420423              0
CLA    19420424              1
CLA    19420425              0
CLA    19420426              0
CLA    19420427              0
CLA    19420428              0
CLA    19420429              0
CLA    19420430              0
CLA    19420501              0
CLA    19420502              0
CLA    19420503              0
CLA    19420504              1
CLA    19420505              1
CLA    19420506              1
CLA    19420507              1
CLA    19420508              0
CLA    19420509              0
CLA    19420510              0
CLA    19420511              0
CLA    19420512              0
CLA    19420513              0
CLA    19420514              0
CLA    19420515              0
CLA    19420516              0
CLA    19420517              1
CLA    19420518              1
CLA    19420519              1
CLA    19420520              0
CLA    19420521              0
CLA    19420522              0
CLA    19420523              0
CLA    19420524              0
CLA    19420525              0
CLA    19420526              0
CLA    19420527              0
CLA    19420528              0
CLA    19420529              0
CLA    19420530              0
CLA    19420531              0
CLA    19420601              1
CLA    19420602              1
CLA    19420603              1
CLA    19420604              1
CLA    19420605              1
CLA    19420606              1
CLA    19420607              0
CLA    19420608              0
CLA    19420609              0
CLA    19420610              0
CLA    19420611              0
CLA    19420612              0
CLA    19420613              0
