 

stn    time           nto002d0  tre200dx  tre200d0  rre150d0  hns000d0
ALT    19390903              0      22.8      18.9       2.0         -
ALT    19390904              0      20.5      16.4      22.7         -
ALT    19390905              0      15.9      13.8       2.7         -
ALT    19390906              0      19.0      15.2       0.0         -
ALT    19390907              1      23.3      16.0       0.0         -
ALT    19390908              1      19.4      16.3       0.0         -
ALT    19390909              0      26.0      16.2       0.0         -
ALT    19390910              1      27.8      16.9       0.0         -
ALT    19390911              1      27.4      17.9       0.0         -
ALT    19390912              0      18.0      14.9      11.1         -
ALT    19390913              0      15.0      13.3       1.6         -
ALT    19390914              0      17.2      13.0       9.4         -
ALT    19390915              0      13.0      11.3       9.4         -
ALT    19390916              0      14.4      11.9       3.1         -
ALT    19390917              0      18.5      13.6       0.0         -
ALT    19390918              0      15.5      12.8       9.1         -
ALT    19390919              0      15.5      13.1       2.5         -
ALT    19390920              0      17.0      13.5       3.2         -
ALT    19390921              0      16.0      12.0       4.1         -
ALT    19390922              0      17.4      11.6       0.0         -
ALT    19390923              0      15.0      12.0       0.0         -
ALT    19390924              0      16.0      12.5       1.4         -
ALT    19390925              0      15.9      11.6       0.0         -
ALT    19390926              0      16.4      11.4       0.0         -
ALT    19390927              0      11.0      10.1       0.0         -
ALT    19390928              0       8.9       7.5       0.0         -
ALT    19390929              0       9.8       6.9       0.0         -
ALT    19390930              0      17.4       8.3       0.0         -
ALT    19391001              0      14.6      10.7       3.8         -
ALT    19391002              0      16.1      12.4       0.4         -
ALT    19391003              0      13.0      11.4      16.0         -
ALT    19391004              0      11.0      10.4       0.7         -
ALT    19391005              0      11.7      10.8      18.9         -
ALT    19391006              0      12.4       9.2      24.0         -
ALT    19391007              0       8.0       6.6      19.6         -
ALT    19391008              0       8.9       6.4       1.8         -
ALT    19391009              0       9.9       7.1      16.0         -
ALT    19391010              0      13.0       9.9       7.4         -
ALT    19391011              0      15.5       8.6       0.0         -
ALT    19391012              0      13.4       9.9       0.7         -
ALT    19391013              0      17.5      11.6       1.5         -
ALT    19391014              1      21.5      18.7       0.0         -
ALT    19391015              0      23.0      19.4      11.2         -
ALT    19391016              0      15.0      12.4       0.5         -
ALT    19391017              0      22.0      17.5       0.0         -
ALT    19391018              0      24.1      20.4       3.5         -
ALT    19391019              0      17.5      13.2       9.6         -
ALT    19391020              0      12.8      10.1       2.1         -
ALT    19391021              0      10.3       6.6       0.4         -
ALT    19391022              0       7.9       5.8       5.0         -
ALT    19391023              0       6.3       5.2       1.7         -
ALT    19391024              0       7.8       5.9       2.3         -
ALT    19391025              0       8.2       5.3      14.0         -
ALT    19391026              0       6.0       2.7       1.2         -
ALT    19391027              0       3.8       1.8       5.9         -
ALT    19391028              0       4.1       2.1       0.0         -
ALT    19391029              0       7.4       3.3       0.0         -
ALT    19391030              0       5.6       2.1       0.0         -
ALT    19391031              0       7.4       3.4       0.0         -
ALT    19391101              0       7.7       4.2       0.0         -
ALT    19391102              0       6.4       5.0       0.0         -
ALT    19391103              0      15.9      10.7       0.0         -
ALT    19391104              0      15.9      13.2       6.5         -
ALT    19391105              0       9.0       6.1       5.6         -
ALT    19391106              0      10.9       8.9       2.1         -
ALT    19391107              1      16.0      12.4       0.0         -
ALT    19391108              1      15.0       9.8       0.0         -
ALT    19391109              0      16.0      10.1       0.0         -
ALT    19391110              0      13.7       9.3       0.0         -
ALT    19391111              0      11.0       8.2       0.0         -
ALT    19391112              0      10.3       6.8       0.0         -
ALT    19391113              0       7.3       5.6       0.5         -
ALT    19391114              0       8.0       6.2       0.0         -
ALT    19391115              0      11.5       7.4       4.5         -
ALT    19391116              0      13.8       7.8      32.9         -
ALT    19391117              0      14.9      12.2      68.5         -
ALT    19391118              0      14.9      11.9      10.4         -
ALT    19391119              0       9.5       7.6      31.4         -
ALT    19391120              0       5.4       4.9      15.4         -
ALT    19391121              0       2.6       1.8       0.0         -
ALT    19391122              0       1.1      -0.4       0.0         -
ALT    19391123              0       1.0      -2.2       0.0         -
ALT    19391124              0       1.8      -1.4       0.0         -
ALT    19391125              0       5.3       2.0       0.0         -
ALT    19391126              0       6.4       3.3       2.0         -
ALT    19391127              0      11.5       6.3       7.3         -
ALT    19391128              0       7.5       4.7       3.9         -
ALT    19391129              0       7.1       5.6      16.1         -
ALT    19391130              0      11.4       9.0       0.1         -
ALT    19391201              0      10.7       6.7       0.0         -
ALT    19391202              0       8.7       4.1       4.7         -
ALT    19391203              0       6.7       3.9       0.4         -
ALT    19391204              0       8.5       5.2       0.0         -
ALT    19391205              0       7.2       4.6       2.4         -
ALT    19391206              0       4.9       2.2      14.4         -
ALT    19391207              0       2.1       1.6       2.2         -
ALT    19391208              0       1.0      -1.3       2.4         -
ALT    19391209              0       2.8       1.7       3.4         -
ALT    19391210              0       4.5       3.3      14.0         -
ALT    19391211              0       6.3       4.1       2.8         -
ALT    19391212              0       3.0       1.6       0.0         -
ALT    19391213              0       1.5       0.7       0.0         -
ALT    19391214              0       2.1       0.7       0.0         -
ALT    19391215              0       2.0       0.0       0.0         -
ALT    19391216              0       1.2       0.1       0.0         -
ALT    19391217              0       1.8       0.4       0.0         -
ALT    19391218              0       3.9       0.4       0.0         -
ALT    19391219              0       6.7       2.2       0.3         -
ALT    19391220              0       1.6       0.7       0.3         -
ALT    19391221              0       1.0      -0.3       0.0         -
ALT    19391222              0       1.0      -1.2       0.0         -
ALT    19391223              0       0.8      -1.7       0.0         -
ALT    19391224              0      -0.5      -3.0       0.0         -
ALT    19391225              0      -0.8      -2.4       0.0         -
ALT    19391226              0      -0.4      -2.6       2.5         -
ALT    19391227              0       1.7      -0.1       4.5         -
ALT    19391228              0       1.3      -2.6       0.0         -
ALT    19391229              0      -2.3      -5.7       0.2         -
ALT    19391230              1      -5.3      -9.3       0.0         -
ALT    19391231              0      -0.3      -3.1       0.0         -
ALT    19400101              0      -0.1      -3.7       0.0         -
ALT    19400102              0      -1.8      -5.5       0.0         -
ALT    19400103              0       0.0      -3.2       0.3         -
ALT    19400104              0       2.7       1.0       0.0         -
ALT    19400105              0       1.4       0.4       0.0         -
ALT    19400106              0       1.5       0.2       0.0         -
ALT    19400107              0       0.8      -1.0       0.0         -
ALT    19400108              0       4.5       2.1       1.7         -
ALT    19400109              0       2.2       0.3       0.6         -
ALT    19400110              0      -1.7      -4.6       0.0         -
ALT    19400111              0      -6.0      -8.3       0.0         -
ALT    19400112              0      -4.4      -6.9       0.0         -
ALT    19400113              0      -2.6      -4.1       0.0         -
ALT    19400114              0      -1.4      -3.7       0.0         -
ALT    19400115              0      -1.4      -3.2       0.0         -
ALT    19400116              0      -0.3      -1.5       3.5         -
ALT    19400117              0      -1.0      -4.9       0.6         -
ALT    19400118              0      -7.1      -9.3       0.0         -
ALT    19400119              0      -7.9     -10.6       0.0         -
ALT    19400120              0      -7.9      -9.9       1.7         -
ALT    19400121              0      -5.0      -9.1       0.0         -
ALT    19400122              0      -3.0      -6.9       0.3         -
ALT    19400123              0      -3.5      -5.6       0.0         -
ALT    19400124              0      -3.7      -7.1       0.0         -
ALT    19400125              0      -2.6      -4.4       0.0         -
ALT    19400126              0      -1.6      -5.2       0.2         -
ALT    19400127              0       2.2       0.1      47.2         -
ALT    19400128              0       1.9       0.3      29.0         -
ALT    19400129              0       0.5      -0.6       4.3         -
ALT    19400130              0       1.5       0.4       7.7         -
ALT    19400131              0       3.5       1.7       0.0         -
ALT    19400201              0       3.7       2.0       0.8         -
ALT    19400202              0       4.4       0.3       0.0         -
ALT    19400203              0       4.1       0.4       0.0         -
ALT    19400204              0       4.5       1.7       0.0         -
ALT    19400205              0       3.0      -0.5       0.0         -
ALT    19400206              0       4.4       0.7       0.0         -
ALT    19400207              0       5.0       2.0       2.0         -
ALT    19400208              0       5.1       3.2       3.1         -
ALT    19400209              0       2.5       0.8       4.6         -
ALT    19400210              0       3.4       1.9       0.6         -
ALT    19400211              0       2.5       0.7       6.1         -
ALT    19400212              0       1.8      -2.2      17.6         -
ALT    19400213              0      -7.1     -10.5       0.0         -
ALT    19400214              0      -7.6     -10.4       0.0         -
ALT    19400215              0      -3.2      -6.5       1.8         -
ALT    19400216              0      -1.0      -3.4       0.0         -
ALT    19400217              0       3.3      -0.8       8.4         -
ALT    19400218              0       2.5       0.1       7.1         -
ALT    19400219              0      10.0       5.7      30.5         -
ALT    19400220              0       6.8       2.6       7.9         -
ALT    19400221              0       3.0       1.2       0.0         -
ALT    19400222              0       2.7       0.1       0.0         -
ALT    19400223              0       5.4       1.2       0.0         -
ALT    19400224              0       7.5       3.1       0.0         -
ALT    19400225              0       6.6       2.6       0.0         -
ALT    19400226              0       6.3       2.4       0.0         -
ALT    19400227              0       9.6       3.7       0.0         -
ALT    19400228              0      10.0       5.3       0.0         -
ALT    19400229              0      11.6       6.4       0.0         -
ALT    19400301              0       9.4       5.4       0.5         -
ALT    19400302              0       2.5       1.3       0.0         -
ALT    19400303              0       4.0       2.5       0.0         -
ALT    19400304              0       7.5       3.0       0.0         -
ALT    19400305              0       7.7       2.0       1.9         -
ALT    19400306              0       1.0      -0.2       2.3         -
ALT    19400307              0       1.5      -1.8       5.5         -
ALT    19400308              0       1.8      -1.0       0.2         -
ALT    19400309              1       8.3      -1.8       0.0         -
ALT    19400310              0       6.3       1.8       0.0         -
ALT    19400311              1      14.5       3.2       0.0         -
ALT    19400312              0      13.2      10.0       0.0         -
ALT    19400313              0      14.9       9.6       9.6         -
ALT    19400314              0      14.1       7.2       2.4         -
ALT    19400315              0       4.9       1.8       0.0         -
ALT    19400316              1      11.0       1.8       0.0         -
ALT    19400317              0       8.5       4.8      43.8         -
ALT    19400318              0      13.0       9.6       0.9         -
ALT    19400319              0      12.5      10.1       2.3         -
ALT    19400320              0      15.5       8.5       0.0         -
ALT    19400321              0      13.8       7.9       0.0         -
ALT    19400322              0      17.6       9.1       6.5         -
ALT    19400323              0      12.0       8.5       2.2         -
ALT    19400324              0      19.1      10.6       0.0         -
ALT    19400325              0      18.4      15.5       0.0         -
ALT    19400326              0      17.7      12.9       4.4         -
ALT    19400327              0      13.0       7.4       3.5         -
ALT    19400328              0       6.8       1.8       0.7         -
ALT    19400329              0       7.4       0.1       0.0         -
ALT    19400330              0       3.8       1.5       8.6         -
ALT    19400331              0      13.9       5.7       0.0         -
ALT    19400401              1      19.5       6.2       0.0         -
ALT    19400402              1      18.9       8.4       2.4         -
ALT    19400403              0      11.5       8.6      12.9         -
ALT    19400404              0       7.3       5.5      35.6         -
ALT    19400405              0       6.0       3.1      18.9         -
ALT    19400406              0       6.1       3.7       1.9         -
ALT    19400407              0       6.7       4.7       0.0         -
ALT    19400408              0       8.5       4.7       0.4         -
ALT    19400409              0       7.0       3.9      11.1         -
ALT    19400410              0       6.3       3.8       1.5         -
ALT    19400411              0       7.7       5.1       0.4         -
ALT    19400412              0       8.4       4.4       0.5         -
ALT    19400413              0       7.2       4.7       1.4         -
ALT    19400414              0       8.5       5.1       0.3         -
ALT    19400415              1      20.0       8.4       0.0         -
ALT    19400416              0      18.4      12.9       0.0         -
ALT    19400417              0      17.8      15.2       0.0         -
ALT    19400418              0      20.5      11.7       8.1         -
ALT    19400419              0      18.4       8.9       0.0         -
ALT    19400420              1      23.0       9.5       0.0         -
ALT    19400421              1      25.4      12.6       0.0         -
ALT    19400422              1      28.3      14.6       0.0         -
ALT    19400423              0      22.7      18.7       0.0         -
ALT    19400424              0      21.4      16.8       0.5         -
ALT    19400425              0      17.2      11.7       0.6         -
ALT    19400426              0      17.0      11.8       3.5         -
ALT    19400427              0      17.0      12.7       3.5         -
ALT    19400428              0      21.6      12.5       3.0         -
ALT    19400429              0      23.7      12.9       0.0         -
ALT    19400430              0      20.6      16.2       0.0         -
ALT    19400501              0      27.0      15.9       0.0         -
ALT    19400502              0      23.0      16.4       0.0         -
ALT    19400503              0      24.6      13.6       2.8         -
ALT    19400504              0      21.5      13.2       1.6         -
ALT    19400505              0      14.0      11.7       8.5         -
ALT    19400506              0      14.8      10.5       1.0         -
ALT    19400507              0      20.9      11.1       0.0         -
ALT    19400508              0      21.2      12.8       0.0         -
ALT    19400509              0      20.5      11.9       0.0         -
ALT    19400510              1      21.8      10.4       0.0         -
ALT    19400511              0      22.4      12.9       0.0         -
ALT    19400512              0      12.4       8.9       0.0         -
ALT    19400513              0      19.7      12.8       0.0         -
ALT    19400514              1      24.5      12.2       0.0         -
ALT    19400515              0      25.1      13.8       0.0         -
ALT    19400516              0      15.8       9.0      13.3         -
ALT    19400517              0       7.5       4.6       1.5         -
ALT    19400518              0      14.9       8.5       0.0         -
ALT    19400519              0      14.3      10.0       0.0         -
ALT    19400520              0      21.1      11.9       0.0         -
ALT    19400521              0      22.1      15.8       0.0         -
ALT    19400522              0      23.0      15.4       1.0         -
ALT    19400523              0      17.4      13.3       9.5         -
ALT    19400524              0      18.2      14.3       0.0         -
ALT    19400525              1      28.9      17.7       0.0         -
ALT    19400526              0      29.3      20.0       4.2         -
ALT    19400527              0      26.7      15.7       1.4         -
ALT    19400528              0      25.9      15.4       7.5         -
ALT    19400529              0      14.4      12.0      64.5         -
ALT    19400530              0      13.0      10.8      16.9         -
ALT    19400531              0      19.4      13.3      17.9         -
ALT    19400601              0      20.5      12.4       1.1         -
ALT    19400602              0      18.0      12.3       0.0         -
ALT    19400603              0      23.4      14.1       0.0         -
ALT    19400604              0      25.3      15.9       0.0         -
ALT    19400605              1      25.6      17.4       0.0         -
ALT    19400606              0      26.6      17.4       0.0         -
ALT    19400607              0      25.8      17.4       0.0         -
ALT    19400608              1      27.4      18.1       0.2         -
ALT    19400609              1      29.0      19.1       0.0         -
ALT    19400610              0      31.4      19.5       0.0         -
ALT    19400611              0      26.8      18.2       4.6         -
ALT    19400612              0      20.8      16.3       7.0         -
ALT    19400613              0      20.5      15.4       2.5         -
ALT    19400614              0      19.0      15.7       5.1         -
ALT    19400615              0      19.5      16.1       2.0         -
ALT    19400616              0      15.6      14.2       1.5         -
ALT    19400617              0      18.4      15.2       2.6         -
ALT    19400618              0      20.8      16.1       0.0         -
ALT    19400619              0      19.8      15.0      14.9         -
ALT    19400620              0      24.8      15.8       0.0         -
ALT    19400621              0      25.0      16.9       1.0         -
ALT    19400622              0      29.9      17.5       0.0         -
ALT    19400623              0      27.4      19.7       0.0         -
ALT    19400624              0      21.1      17.0       0.0         -
ALT    19400625              0      16.3      12.5      45.9         -
ALT    19400626              0      18.9      14.4       5.8         -
ALT    19400627              0      15.5      12.0       6.1         -
ALT    19400628              0      20.5      13.1       1.0         -
ALT    19400629              0      18.5      14.5       0.0         -
ALT    19400630              0      18.1      15.2       0.0         -
ALT    19400701              0      25.0      17.1       7.9         -
ALT    19400702              0      23.4      18.3       0.0         -
ALT    19400703              0      24.9      19.0       7.6         -
ALT    19400704              0      17.6      14.4       0.0         -
ALT    19400705              0      21.5      15.0       0.0         -
ALT    19400706              0      28.0      20.0       0.0         -
ALT    19400707              0      27.5      19.2      46.2         -
ALT    19400708              0      24.0      14.4      12.5         -
ALT    19400709              0      29.3      15.3       0.0         -
ALT    19400710              1      31.0      16.3       0.0         -
ALT    19400711              0      28.3      16.9      21.6         -
ALT    19400712              0      17.0      11.9       5.3         -
ALT    19400713              0      24.1      13.8       0.0         -
ALT    19400714              0      29.0      18.1       0.0         -
ALT    19400715              0      30.2      22.4      10.7         -
ALT    19400716              0      16.5      13.2      14.4         -
ALT    19400717              0      17.6      14.4       8.6         -
