 

stn    time           hns000d0
LUZ    19410511              0
LUZ    19410512              0
LUZ    19410513              0
LUZ    19410514              0
LUZ    19410515              0
LUZ    19410516              0
LUZ    19410517              0
LUZ    19410518              0
LUZ    19410519              0
LUZ    19410520              0
LUZ    19410521              0
LUZ    19410522              0
LUZ    19410523              0
LUZ    19410524              0
LUZ    19410525              0
LUZ    19410526              0
LUZ    19410527              0
LUZ    19410528              0
LUZ    19410529              0
LUZ    19410530              0
LUZ    19410531              0
LUZ    19410601              0
LUZ    19410602              0
LUZ    19410603              0
LUZ    19410604              0
LUZ    19410605              0
LUZ    19410606              0
LUZ    19410607              0
LUZ    19410608              0
LUZ    19410609              0
LUZ    19410610              0
LUZ    19410611              0
LUZ    19410612              0
LUZ    19410613              0
LUZ    19410614              0
LUZ    19410615              0
LUZ    19410616              0
LUZ    19410617              0
LUZ    19410618              0
LUZ    19410619              0
LUZ    19410620              0
LUZ    19410621              0
LUZ    19410622              0
LUZ    19410623              0
LUZ    19410624              0
LUZ    19410625              0
LUZ    19410626              0
LUZ    19410627              0
LUZ    19410628              0
LUZ    19410629              0
LUZ    19410630              0
LUZ    19410701              0
LUZ    19410702              0
LUZ    19410703              0
LUZ    19410704              0
LUZ    19410705              0
LUZ    19410706              0
LUZ    19410707              0
LUZ    19410708              0
LUZ    19410709              0
LUZ    19410710              0
LUZ    19410711              0
LUZ    19410712              0
LUZ    19410713              0
LUZ    19410714              0
LUZ    19410715              0
LUZ    19410716              0
LUZ    19410717              0
LUZ    19410718              0
LUZ    19410719              0
LUZ    19410720              0
LUZ    19410721              0
LUZ    19410722              0
LUZ    19410723              0
LUZ    19410724              0
LUZ    19410725              0
LUZ    19410726              0
LUZ    19410727              0
LUZ    19410728              0
LUZ    19410729              0
LUZ    19410730              0
LUZ    19410731              0
LUZ    19410801              0
LUZ    19410802              0
LUZ    19410803              0
LUZ    19410804              0
LUZ    19410805              0
LUZ    19410806              0
LUZ    19410807              0
LUZ    19410808              0
LUZ    19410809              0
LUZ    19410810              0
LUZ    19410811              0
LUZ    19410812              0
LUZ    19410813              0
LUZ    19410814              0
LUZ    19410815              0
LUZ    19410816              0
LUZ    19410817              0
